date,symbol,name,open,high,low,close,volume,trades,turnover,avg_price
2025-01-02,ITUB4,ITAUUNIBANCO,30.65,30.85,30.24,30.57,25643400,57666,783618929.0,30.55
2025-01-03,ITUB4,ITAUUNIBANCO,30.59,30.62,29.82,29.82,35324700,44345,1063490724.0,30.1
2025-01-06,ITUB4,ITAUUNIBANCO,30.21,31.25,30.11,31.16,30983300,49762,960238681.0,30.99
2025-01-07,ITUB4,ITAUUNIBANCO,31.32,31.86,31.24,31.5,25264200,48769,797581329.0,31.56
2025-01-08,ITUB4,ITAUUNIBANCO,31.22,31.41,30.86,30.99,19226100,38156,596777549.0,31.03
2025-01-09,ITUB4,ITAUUNIBANCO,31.01,31.17,30.92,31.07,10119800,21784,314266921.0,31.05
2025-01-10,ITUB4,ITAUUNIBANCO,31.06,31.14,30.55,30.64,19288300,32942,592928861.0,30.74
2025-01-13,ITUB4,ITAUUNIBANCO,30.63,31.13,30.63,30.86,15477300,39397,478262726.0,30.9
2025-01-14,ITUB4,ITAUUNIBANCO,30.93,30.95,30.42,30.88,20237000,28088,623259605.0,30.79
2025-01-15,ITUB4,ITAUUNIBANCO,31.17,32.29,31.07,32.22,35576600,49976,1131763183.0,31.81
2025-01-16,ITUB4,ITAUUNIBANCO,32.15,32.39,31.85,32.12,21858100,34925,701044411.0,32.07
2025-01-17,ITUB4,ITAUUNIBANCO,32.27,32.57,32.09,32.35,20854200,34183,675032325.0,32.36
2025-01-20,ITUB4,ITAUUNIBANCO,32.2,32.9,32.2,32.66,9234400,20374,301712366.0,32.67
2025-01-21,ITUB4,ITAUUNIBANCO,32.66,32.9,32.53,32.73,14049800,26848,459360232.0,32.69
2025-01-22,ITUB4,ITAUUNIBANCO,32.85,32.96,32.51,32.61,21037900,32739,687157853.0,32.66
2025-01-23,ITUB4,ITAUUNIBANCO,32.71,32.87,32.33,32.54,20224000,33033,658177461.0,32.54
2025-01-24,ITUB4,ITAUUNIBANCO,32.43,32.6,32.31,32.46,8746000,20180,283743601.0,32.44
2025-01-27,ITUB4,ITAUUNIBANCO,32.46,33.31,32.31,33.24,20227700,44862,668132483.0,33.03
