date,symbol,name,open,high,low,close,volume,trades,turnover,avg_price
2025-01-02,VALE3,VALE,54.71,55.1,54.23,54.25,17623900,52924,960890043.0,54.52
2025-01-03,VALE3,VALE,53.9,54.0,52.88,53.24,23595200,58394,1259091413.0,53.36
2025-01-06,VALE3,VALE,53.48,53.79,52.48,52.56,21689500,48525,1148126692.0,52.93
2025-01-07,VALE3,VALE,52.63,52.89,51.94,52.05,22070200,46389,1154893951.0,52.32
2025-01-08,VALE3,VALE,52.03,52.29,51.43,51.55,24423800,53183,1262068106.0,51.67
2025-01-09,VALE3,VALE,52.05,52.25,51.14,51.23,15865200,37549,819749495.0,51.66
2025-01-10,VALE3,VALE,51.54,52.31,51.23,51.52,25833900,46329,1335846460.0,51.7
2025-01-13,VALE3,VALE,52.0,52.31,50.87,51.51,30845300,52360,1591567206.0,51.59
2025-01-14,VALE3,VALE,51.95,52.43,51.63,51.85,21359000,37129,1110644393.0,51.99
2025-01-15,VALE3,VALE,52.14,52.68,51.63,52.6,35137700,57350,1829784180.0,52.07
2025-01-16,VALE3,VALE,52.29,53.27,52.0,52.67,220262800,65020,11528773785.0,52.34
2025-01-17,VALE3,VALE,53.15,54.49,52.98,54.49,54658700,65733,2956234442.0,54.08
2025-01-20,VALE3,VALE,54.22,54.49,53.76,54.29,12317600,24903,666238407.0,54.08
2025-01-21,VALE3,VALE,54.29,54.32,53.25,54.02,28798700,47930,1548583619.0,53.77
2025-01-22,VALE3,VALE,54.28,54.29,52.42,52.66,34645400,65986,1843897392.0,53.22
2025-01-23,VALE3,VALE,52.95,52.99,51.84,52.32,25097300,41999,1311852050.0,52.27
2025-01-24,VALE3,VALE,52.6,53.19,52.6,53.03,20520600,34924,1086239495.0,52.93
2025-01-27,VALE3,VALE,52.89,53.98,52.57,53.96,24531300,53601,1314507461.0,53.58
2025-01-28,VALE3,VALE,53.59,53.78,52.54,52.65,22932900,50830,1213869950.0,52.93
2025-01-29,VALE3,VALE,52.8,53.51,52.63,52.8,19220300,46392,1020098645.0,53.07
2025-01-30,VALE3,VALE,53.3,55.6,53.28,55.03,40562400,55639,2217850460.0,54.67
2025-01-31,VALE3,VALE,54.99,55.21,54.0,54.17,25477600,54052,1388231957.0,54.48
2025-02-03,VALE3,VALE,53.73,54.28,53.33,54.21,27216400,47578,1467173924.0,53.9
2025-02-04,VALE3,VALE,54.13,54.71,53.81,54.02,32648700,46341,1766085963.0,54.09
2025-02-05,VALE3,VALE,53.91,54.46,53.86,54.31,21674700,33267,1175579741.0,54.23
2025-02-06,VALE3,VALE,55.4,55.64,54.97,55.13,32789000,33013,1811745048.0,55.25
2025-02-07,VALE3,VALE,55.3,55.78,54.56,54.83,24395500,40789,1341940556.0,55.0
2025-02-10,VALE3,VALE,54.87,55.4,54.84,55.4,15566300,33267,858087646.0,55.12
2025-02-11,VALE3,VALE,54.91,55.19,54.39,55.16,18198300,33725,998961824.0,54.89
2025-02-12,VALE3,VALE,55.01,55.29,54.7,54.79,35432600,51726,1947522878.0,54.96
2025-02-13,VALE3,VALE,54.85,55.0,54.13,54.86,21749900,41631,1188920278.0,54.66
2025-02-14,VALE3,VALE,55.22,55.81,55.0,55.67,49803200,50666,2766474577.0,55.54
2025-02-17,VALE3,VALE,55.64,55.92,55.28,55.37,12391400,29510,689182490.0,55.61
2025-02-18,VALE3,VALE,55.6,55.97,55.51,55.74,27608200,38602,1539106635.0,55.74
2025-02-19,VALE3,VALE,55.3,55.73,54.72,55.69,26472500,43193,1464569761.0,55.32
2025-02-20,VALE3,VALE,56.8,58.16,56.48,57.74,76934000,95578,4409001263.0,57.3
2025-02-21,VALE3,VALE,57.9,58.16,57.56,58.16,37134700,46383,2152895324.0,57.97
2025-02-24,VALE3,VALE,58.1,58.57,57.48,57.63,19081700,38197,1104964356.0,57.9
2025-02-25,VALE3,VALE,57.3,57.44,56.89,57.07,19554800,49514,1116544312.0,57.09
2025-02-26,VALE3,VALE,57.37,57.69,56.72,56.72,25399100,43583,1451903522.0,57.16
2025-02-27,VALE3,VALE,56.45,56.99,56.01,56.3,18658000,43442,1052314198.0,56.4
2025-02-28,VALE3,VALE,55.94,56.14,55.15,55.15,46789400,53733,2588691084.0,55.32
2025-03-05,VALE3,VALE,56.15,56.22,55.39,55.59,13843400,36709,771902067.0,55.75
2025-03-06,VALE3,VALE,55.64,56.52,55.55,56.2,17678400,50889,993283215.0,56.18
2025-03-07,VALE3,VALE,55.98,57.35,55.55,57.02,25480600,46136,1445061135.0,56.71
2025-03-10,VALE3,VALE,54.23,54.55,53.25,53.99,23626600,49798,1272927170.0,53.87
2025-03-11,VALE3,VALE,54.08,54.72,53.41,54.44,23060100,43696,1248088510.0,54.12
2025-03-12,VALE3,VALE,54.5,54.5,53.15,53.76,18825700,38476,1008817972.0,53.58
2025-03-13,VALE3,VALE,53.88,55.16,53.7,54.5,20584600,50894,1123876286.0,54.59
2025-03-14,VALE3,VALE,55.2,56.41,55.16,56.29,31782000,67109,1779752655.0,55.99
2025-03-17,VALE3,VALE,56.29,57.24,56.14,57.1,23191800,35322,1320929091.0,56.95
